"gene_ID","slope","p_value","ENV_fun","gene_name","gene_taxa","Study"
"nirk superkingdom:Bacteria",0.399051803885291,0.00546019378380113,"NH4.N","nirk","superkingdom:Bacteria","Altitude (HKV)"
"nifh superkingdom:Bacteria",0.582501085540599,1.40191784606872e-05,"NH4.N","nifh","superkingdom:Bacteria","Altitude (HKV)"
"amoa_quasi superkingdom:Bacteria",0.704407294832827,2.31077178211144e-08,"NH4.N","amoa_quasi","superkingdom:Bacteria","Altitude (HKV)"
"nir superkingdom:Bacteria",-0.374185844550586,0.00879199607491071,"NH4.N","nir","superkingdom:Bacteria","Altitude (HKV)"
"ammonium_transporter superkingdom:Eukaryota",0.504233608336952,0.000258067142374333,"NH4.N","ammonium_transporter","superkingdom:Eukaryota","Altitude (HKV)"
"nirk superkingdom:Bacteria",0.419669995657838,0.00298438885502698,"NH4.N","nirk","superkingdom:Bacteria","Altitude (HKV)"
"nifh superkingdom:Bacteria",0.75651324359531,4.99773636940641e-10,"NH4.N","nifh","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.497503256621798,0.000321147457778438,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"nrfa superkingdom:Bacteria",-0.511440024668517,0.000280665551615191,"NH4.N","nrfa","superkingdom:Bacteria","Altitude (HKV)"
"nasa superkingdom:Bacteria",-0.417390360399479,0.00316177131171542,"NH4.N","nasa","superkingdom:Bacteria","Altitude (HKV)"
"urec superkingdom:Bacteria",0.620712114633087,2.51997375099813e-06,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"napa superkingdom:Bacteria",0.367992599444958,0.0118647105828308,"NH4.N","napa","superkingdom:Bacteria","Altitude (HKV)"
"urec superkingdom:Bacteria",-0.528766825879288,0.000111770901961297,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.604537559704733,5.3543620155319e-06,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.499023013460703,0.000305795110620688,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"nitrate_transporter superkingdom:Eukaryota",0.560464611376466,3.43075253563024e-05,"NH4.N","nitrate_transporter","superkingdom:Eukaryota","Altitude (HKV)"
"nitrate_reductase superkingdom:Eukaryota",-0.387141535615171,0.00718035427869535,"NH4.N","nitrate_reductase","superkingdom:Eukaryota","Altitude (HKV)"
"nosz superkingdom:Bacteria",0.542206290471785,8.26156349160662e-05,"NH4.N","nosz","superkingdom:Bacteria","Altitude (HKV)"
"nirk superkingdom:Bacteria",-0.340859748154581,0.0177507195966076,"NH4.N","nirk","superkingdom:Bacteria","Altitude (HKV)"
"norb superkingdom:Bacteria",-0.420104211897525,0.00295161513401907,"NH4.N","norb","superkingdom:Bacteria","Altitude (HKV)"
"nir superkingdom:Bacteria",0.580438558402084,1.52862242766239e-05,"NH4.N","nir","superkingdom:Bacteria","Altitude (HKV)"
"nifh superkingdom:Bacteria",-0.371689101172384,0.00929033118089124,"NH4.N","nifh","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.462369337979094,0.00233776038491391,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"narb superkingdom:Bacteria",0.532674772036474,9.72374225000117e-05,"NH4.N","narb","superkingdom:Bacteria","Altitude (HKV)"
"nirk superkingdom:Bacteria",0.616804168475901,3.03498524222351e-06,"NH4.N","nirk","superkingdom:Bacteria","Altitude (HKV)"
"nitrite_transporter unknown_taxa",0.667173252279635,2.23813416372409e-07,"NH4.N","nitrite_transporter","unknown_taxa","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.448002605297438,0.00140751214378461,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"nosz superkingdom:Bacteria",-0.433564915327833,0.00208089562297832,"NH4.N","nosz","superkingdom:Bacteria","Altitude (HKV)"
"urec superkingdom:Bacteria",0.547980894485454,5.54101609818977e-05,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"nifh superkingdom:Bacteria",0.424663482414242,0.00262618865033041,"NH4.N","nifh","superkingdom:Bacteria","Altitude (HKV)"
"nirs superkingdom:Bacteria",0.416087711680417,0.00326724884332341,"NH4.N","nirs","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.613330438558402,3.57299942596294e-06,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"nir superkingdom:Bacteria",0.35497177594442,0.0132975170430239,"NH4.N","nir","superkingdom:Bacteria","Altitude (HKV)"
"nir superkingdom:Archaea",-0.460747004933051,0.00164747793098738,"NH4.N","nir","superkingdom:Archaea","Altitude (HKV)"
"narb superkingdom:Bacteria",-0.339122883195832,0.0183774388768062,"NH4.N","narb","superkingdom:Bacteria","Altitude (HKV)"
"nitrate_reductase superkingdom:Eukaryota",-0.571345975948196,2.73624697139132e-05,"NH4.N","nitrate_reductase","superkingdom:Eukaryota","Altitude (HKV)"
"nirs superkingdom:Bacteria",0.524641771602258,0.0001292370367195,"NH4.N","nirs","superkingdom:Bacteria","Altitude (HKV)"
"hao superkingdom:Bacteria",0.398827616152844,0.00498711806362697,"NH4.N","hao","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.499348675640469,0.000302593023408151,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"nira superkingdom:Archaea",0.479591836734694,0.000562500812900649,"NH4.N","nira","superkingdom:Archaea","Altitude (HKV)"
"nirs superkingdom:Bacteria",0.393508467216674,0.005656642638824,"NH4.N","nirs","superkingdom:Bacteria","Altitude (HKV)"
"urec superkingdom:Bacteria",0.385258358662614,0.00685016212234131,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"urec superkingdom:Bacteria",-0.445071645679548,0.00152588367076265,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"gdh superkingdom:Bacteria",-0.581089882761615,1.48751444167743e-05,"NH4.N","gdh","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",0.738059053408597,2.15278847319953e-09,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"urec superkingdom:Bacteria",0.408706035605732,0.00392552775450925,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"nirs superkingdom:Bacteria",-0.353452019105515,0.0137258980062809,"NH4.N","nirs","superkingdom:Bacteria","Altitude (HKV)"
"nifh superkingdom:Bacteria",0.553842813721233,4.43467371187489e-05,"NH4.N","nifh","superkingdom:Bacteria","Altitude (HKV)"
"nifh superkingdom:Bacteria",0.428354320451585,0.00238640471416224,"NH4.N","nifh","superkingdom:Bacteria","Altitude (HKV)"
"nosz superkingdom:Bacteria",0.605405992184108,5.1474343733908e-06,"NH4.N","nosz","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",0.735562310030395,2.59877285250241e-09,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"nitrate_reductase superkingdom:Eukaryota",-0.646765089014329,6.8176528623773e-07,"NH4.N","nitrate_reductase","superkingdom:Eukaryota","Altitude (HKV)"
"glutamate_synthase_protist superkingdom:Eukaryota",-0.57663916630482,1.79002060634289e-05,"NH4.N","glutamate_synthase_protist","superkingdom:Eukaryota","Altitude (HKV)"
"urec superkingdom:Bacteria",-0.410660008684325,0.00374083362788459,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"napa superkingdom:Bacteria",-0.705709943551889,2.12095021787651e-08,"NH4.N","napa","superkingdom:Bacteria","Altitude (HKV)"
"napa superkingdom:Bacteria",-0.626248371689101,1.92791353335373e-06,"NH4.N","napa","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.556665219279201,3.97775934391302e-05,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"nosz superkingdom:Bacteria",-0.401650021710812,0.00466082976512665,"NH4.N","nosz","superkingdom:Bacteria","Altitude (HKV)"
"nirs superkingdom:Bacteria",-0.696699956578376,3.80194447073183e-08,"NH4.N","nirs","superkingdom:Bacteria","Altitude (HKV)"
"nifh superkingdom:Bacteria",0.696265740338689,3.90830875352625e-08,"NH4.N","nifh","superkingdom:Bacteria","Altitude (HKV)"
"nirs superkingdom:Bacteria",-0.436387320885801,0.00193033907767753,"NH4.N","nirs","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.359748154580981,0.0120247564789224,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"nrfa superkingdom:Bacteria",0.443660442900565,0.00158597610475244,"NH4.N","nrfa","superkingdom:Bacteria","Altitude (HKV)"
"nifh superkingdom:Bacteria",0.426074685193226,0.00253210299403539,"NH4.N","nifh","superkingdom:Bacteria","Altitude (HKV)"
"amoa_quasi superkingdom:Archaea",0.393508467216674,0.005656642638824,"NH4.N","amoa_quasi","superkingdom:Archaea","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.339991315675206,0.0180617777488701,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"glutamine_synthetase_protist superkingdom:Eukaryota",-0.65859748154581,3.61102886027588e-07,"NH4.N","glutamine_synthetase_protist","superkingdom:Eukaryota","Altitude (HKV)"
"narg superkingdom:Bacteria",0.641501976284585,2.05000021990431e-06,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.443551888840643,0.00159068466203149,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"urec superkingdom:Bacteria",0.547980894485454,5.54101609818977e-05,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"nasa superkingdom:Bacteria",0.493052540165002,0.000370202803326137,"NH4.N","nasa","superkingdom:Bacteria","Altitude (HKV)"
"cnorb superkingdom:Bacteria",0.403603994789405,0.004446029669318,"NH4.N","cnorb","superkingdom:Bacteria","Altitude (HKV)"
"nifh superkingdom:Bacteria",0.589339991315675,1.04778570344824e-05,"NH4.N","nifh","superkingdom:Bacteria","Altitude (HKV)"
"nosz superkingdom:Bacteria",0.336626139817629,0.0193110856342317,"NH4.N","nosz","superkingdom:Bacteria","Altitude (HKV)"
"urec superkingdom:Bacteria",0.530829353017803,0.000103870702109469,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.557967867998263,3.78180022706214e-05,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"gdh superkingdom:Bacteria",-0.572188449848024,2.14827633278032e-05,"NH4.N","gdh","superkingdom:Bacteria","Altitude (HKV)"
"nasa superkingdom:Bacteria",-0.647307859313938,6.62573572695252e-07,"NH4.N","nasa","superkingdom:Bacteria","Altitude (HKV)"
"nosz superkingdom:Bacteria",0.579353017802866,1.59946822610759e-05,"NH4.N","nosz","superkingdom:Bacteria","Altitude (HKV)"
"nrfa superkingdom:Bacteria",0.615935735996526,3.16195296488151e-06,"NH4.N","nrfa","superkingdom:Bacteria","Altitude (HKV)"
"nosz superkingdom:Bacteria",0.581198436821537,1.48076297412046e-05,"NH4.N","nosz","superkingdom:Bacteria","Altitude (HKV)"
"urec superkingdom:Bacteria",0.415436387320886,0.00332114031452868,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"nira superkingdom:Bacteria",0.343030829353018,0.0169928679526947,"NH4.N","nira","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.506187581415545,0.000241985863278116,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.391663048198003,0.00590657783869366,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"amoa_quasi superkingdom:Archaea",-0.53145235892692,0.000121123908150815,"NH4.N","amoa_quasi","superkingdom:Archaea","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.409574468085106,0.00384247576168216,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"nasa superkingdom:Bacteria",-0.347807207989579,0.0154217270446915,"NH4.N","nasa","superkingdom:Bacteria","Altitude (HKV)"
"nifh superkingdom:Bacteria",0.531589231437256,0.000101090918271292,"NH4.N","nifh","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",0.528983933999132,0.000110914240455454,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"amoa_quasi superkingdom:Archaea",0.734585323491099,2.7958652484973e-09,"NH4.N","amoa_quasi","superkingdom:Archaea","Altitude (HKV)"
