"","row","col","Dist","Method","Metric","row.Site","col.Site","Comparison","Study"
"191","GM1","HJ5",0.0578225528649123,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"192","GM10","HJ5",0.150269490873264,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"193","GM12","HJ5",0.20681876201936,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"194","GM13","HJ5",0.0536654215422043,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"195","GM14","HJ5",0.0349746721936091,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"196","GM3","HJ5",0.224843740366091,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"197","GM4","HJ5",0.110485281126543,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"198","GM5","HJ5",0.0759519287525214,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"199","GM6","HJ5",0.0345294407327437,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"200","GM7","HJ5",0.0443426217844368,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"201","GM8","HJ5",0.239291109528803,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"202","GM9","HJ5",0.169356735439838,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"203","HJ10","HJ5",0.200143950710792,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"204","HJ11","HJ5",0.226024964969977,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"205","HJ12","HJ5",0.149836031374234,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"206","HJ13","HJ5",0.232471275669706,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"207","HJ14","HJ5",0.160766687264388,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"208","HJ15","HJ5",0.262205933955216,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"209","HJ2","HJ5",0.0458829518363,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"210","HJ4","HJ5",0.266753522575977,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"211","GM1","HJ6",0.243786116029741,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"212","GM10","HJ6",0.0670676705874725,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"213","GM12","HJ6",0.368756477258165,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"214","GM13","HJ6",0.238014418214361,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"215","GM14","HJ6",0.189589715273822,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"216","GM3","HJ6",0.03110446336291,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"217","GM4","HJ6",0.109106717111593,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"218","GM5","HJ6",0.144647209457312,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"219","GM6","HJ6",0.204867312222215,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"220","GM7","HJ6",0.178273843285884,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
